Date,Name,Year,Letterboxd URI,Rating
2025-11-09,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,5
2025-11-23,Oldboy,2003,https://boxd.it/29R2,5
2025-12-10,Rental Family,2025,https://boxd.it/JQOw,4
2025-12-14,Nuremberg,2025,https://boxd.it/K6qU,4
2025-12-18,Anaconda,2025,https://boxd.it/KV9g,3
2025-12-27,Memento,2000,https://boxd.it/2bcK,4.5
2025-12-28,Marty Supreme,2025,https://boxd.it/Off0,5
2025-12-29,Wake Up Dead Man,2025,https://boxd.it/uAKS,3.5
2025-12-29,Knives Out,2019,https://boxd.it/jWEA,4
2025-12-29,Glass Onion,2022,https://boxd.it/oCkK,3
2025-12-31,Cube,1997,https://boxd.it/2aoU,3
2026-01-12,The Matrix,1999,https://boxd.it/2a1m,5
2026-01-13,Series 7: The Contenders,2001,https://boxd.it/1F0C,3
2026-01-19,Frieren: Beyond Journey's End,2023,https://boxd.it/MbNo,5
2026-01-20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2026-01-23,Speed Racer,2008,https://boxd.it/20UQ,3.5
2026-02-02,No Other Choice,2025,https://boxd.it/nKiA,4
2026-02-02,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3
2026-02-02,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,5
2026-02-02,Death Note,2006,https://boxd.it/psEs,4
2026-02-02,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2026-02-09,Dracula,2025,https://boxd.it/Lng0,2.5
2026-02-14,Scream,1996,https://boxd.it/24EC,4
2026-02-14,Big Trouble in Little China,1986,https://boxd.it/21em,3
2026-04-06,The Drama,2026,https://boxd.it/OA2w,4
2026-04-13,Project Hail Mary,2026,https://boxd.it/pEeQ,4
2026-04-15,Checkpoint Zoo,2024,https://boxd.it/IDaQ,4
